Bajaj_CustomerID,Name,Email,Mobile,PAN_Num,Addr,DOB,DateJoined
35,Gautam G Varty,mannudarsh@example.net,+918810029580,LF647025O,"81/47, Choudhary Street, Sirsa 659535",1977-07-13,2016-02-07
36,Zinal A Subramaniam,hemanginibatra@example.net,8963875891,WH201802D,"H.No. 47, Viswanathan Path, Pallavaram-484785",1971-03-15,2021-12-31
37,Tamanna I Deep,ogola@example.org,+914358174740,ZC454927A,"30/654, Krishnan Path, Kadapa-476370",1979-05-24,2015-07-11
38,Onveer L Bal,vasaishani@example.org,04321001945,MP568385R,"636, Dave Marg, Mirzapur 983386",1976-12-23,2015-01-21
39,Farhan I Dua,viraj52@example.org,05786970308,NO240512H,"15/435, Khosla Ganj, Maheshtala 184256",1945-09-19,2016-10-29
40,Meera V Manne,duberayaan@example.org,09759821138,KD169480Z,"H.No. 817, Tak Circle, Thanjavur 306485",1958-11-05,2021-11-20
41,Yoshita A Sethi,aahanabassi@example.org,+911920395878,TB719451V,"H.No. 09, Menon, Mau-267454",1986-05-27,2021-08-20
42,Anusha V Raman,darsh88@example.org,06500446244,KK001295B,"H.No. 635, Krishnan, Rajpur Sonarpur 928159",1983-07-18,2016-12-12
43,Gopal N Parmar,buchyadavi@example.com,5504223406,AX474726G,"10/64, Iyengar, Delhi-697796",1971-05-02,2023-05-28
44,Veda E Karnik,kkapoor@example.org,6660266447,XI166194W,"691, Johal Marg, Mysore 243236",1973-07-04,2015-12-18
45,Charita S Narula,jagrati25@example.com,00279934213,YV086164C,"H.No. 887, Kari Zila, Singrauli-133126",2003-04-03,2016-04-26
46,Osha A Handa,jasonnaik@example.org,+911381262676,VK808627Z,"H.No. 443, Kibe Zila, Deoghar 536734",1979-06-19,2017-11-03
47,Manya D Soni,nitesh64@example.net,05224843233,QA712184Y,"47/31, Din Road, Shahjahanpur-007448",1945-04-10,2015-04-11
48,Unnati O Barad,ganeshdakshesh@example.net,01174563725,UB208651R,"07, Krishna Path, Malegaon-822634",1985-01-27,2021-10-15
49,Sachi D Gulati,labantandon@example.com,09939184798,IJ803786I,"34, Tella Marg, Buxar 153066",1962-11-03,2021-06-23
50,Bhavika F Goel,turviandra@example.net,09246661022,ER089878L,"333, Badami Circle, Sultan Pur Majra-521090",2004-12-07,2018-11-09
51,Vedant N Lalla,lakshmorar@example.com,3098898815,FX074182U,"068, Magar Nagar, Noida-000351",1986-10-14,2019-11-15
